,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
805064,13/05/2020,Vente,"1535000,00",15.0,RUE,5825,DU LOUVRE,75001.0,AR,68,,211,"86,60",,,,,,,,,1,2.0,86.0,3.0,
805065,27/04/2020,Vente,"1645000,00",19.0,RUE,2067,CLAPEYRON,75008.0,CE,52,,29,"152,97",57.0,,,,,,,,2,2.0,149.0,5.0,
805066,15/05/2020,Vente,"550000,00",14.0,AV,9933,DE WAGRAM,75008.0,AX,73,,6,"49,76",62.0,,,,,,,,2,2.0,54.0,3.0,
805067,28/04/2020,Vente,"1000000,00",73.0,BD,0783,BEAUMARCHAIS,75003.0,AM,84,,14,"105,80",24.0,,,,,,,,2,2.0,118.0,4.0,
805068,30/04/2020,Vente,"1750000,00",209.0,RUE,8635,SAINT HONORE,75001.0,AY,94,,18,,19.0,,,,,,,,2,3.0,0.0,0.0,
805069,30/04/2020,Vente,"1750000,00",209.0,RUE,8635,SAINT HONORE,75001.0,AY,94,,15,"129,09",,,,,,,,,1,2.0,14.0,1.0,
805070,30/04/2020,Vente,"1750000,00",209.0,RUE,8635,SAINT HONORE,75001.0,AY,94,,13,"129,09",,,,,,,,,1,2.0,51.0,2.0,
805071,30/04/2020,Vente,"1750000,00",209.0,RUE,8635,SAINT HONORE,75001.0,AY,94,,12,"129,09",22.0,,,,,,,,2,2.0,52.0,2.0,
805072,30/04/2020,Vente,"1750000,00",209.0,RUE,8635,SAINT HONORE,75001.0,AY,94,,14,"129,09",,,,,,,,,1,2.0,16.0,1.0,
805073,06/05/2020,Vente,"250000,00",15.0,RUE,2067,CLAPEYRON,75008.0,CE,54,,74,"21,29",93.0,,,,,,,,2,4.0,50.0,0.0,
805074,05/05/2020,Vente,"500000,00",89.0,RUE,0759,BEAUBOURG,75003.0,AV,39,,1,"57,43",,,,,,,,,1,4.0,35.0,0.0,
805075,18/05/2020,Vente,"710000,00",25.0,RUE,2616,DEBELLEYME,75003.0,AK,74,,12,,5.0,"54,60",,,,,,,2,2.0,60.0,3.0,
805076,20/05/2020,Vente,"395000,00",95.0,RUE,9783,VIEILLE DU TEMPLE,75003.0,AQ,54,,5,"25,49",,,,,,,,,1,2.0,25.0,2.0,
805077,14/05/2020,Vente,"1750000,00",3.0,RUE,1200,DU BOURG L ABBE,75003.0,AV,129,,18,"130,55",20.0,,,,,,,,2,3.0,0.0,0.0,
805078,14/05/2020,Vente,"1750000,00",3.0,RUE,1200,DU BOURG L ABBE,75003.0,AV,129,,18,"130,55",20.0,,,,,,,,2,2.0,133.0,5.0,
805079,15/05/2020,Vente,"480000,00",30.0,RUE,8716,DE SAINTONGE,75003.0,AK,77,,15,"37,66",20.0,,,,,,,,2,2.0,37.0,2.0,
